100.0|019FA033-0230-78C5-8BAD-3373DCEEAB4F|NULL|The operation took eleven minutes.|Sets a clipped, clinical pace that signals the coming scene will be procedural and tense rather than reflective.|An operation takes eleven minutes.
200.0|019FA033-0231-7654-9ADD-470573637D86|NULL|Bear held the eastern perifoot — the ground a perimeter element plants itself on and does not leave, the place where the line holds or it doesn't. His was a strip of cracked ferrocement behind a dry irrigation channel, forty feet from the building's east f|Establishes the operation's rigid rules of engagement to set up the moral gap between literal orders and lived reality.|Bear takes position at eastern perimeter, monitoring two visible exits and one partially obscured stairwell.
300.0|019FA033-0231-7702-A543-A9887084B50A|NULL|He held it. The Manowar settled his weight into the channel lip and idled warm against his chest, the way it did whenever he was made to stand still and the system had nothing to spend itself on. He listened.|Characterizes Bear's disciplined stillness and primes the reader for sound, not sight, to become the scene's central sensory focus.|Bear holds position, weapon warm against his chest, listening.
400.0|019FA033-0231-7163-9103-580D3EAC8940|NULL|He counted forty-three distinct voices in the eleven minutes.|Plants a concrete, unsettling detail that quantifies the human stakes hidden beyond his line of sight.|Bear counts forty-three distinct voices during the eleven-minute operation.
500.0|019FA033-0231-71CD-B3F7-7EC07C5A8BF1|NULL|He hadn't set out to. It was a thing his training did with the part of him that wasn't watching the doors — sort the sound, tag what was human, hold the number. The first voices came clean and separate: a man's low call, a woman answering, a child's pitch |Escalates tension by showing Bear's trained detachment eroding as the chaos of voices exposes the human cost his orders ignore.|No new event - Bear reflects on how voices overlap and blur together as fear increases.
600.0|019FA033-0231-7C11-959B-AA13553F8FFB|NULL|So he didn't trust the number. He distrusted it the whole time he was building it. That was the discipline — to keep counting the thing you knew you were counting wrong, because stopping wasn't an order he'd been given.|Establishes the protagonist's core discipline of counting under doubt, framing self-distrust as duty rather than weakness.|No new event - internal reflection on counting discipline during operation.
700.0|019FA033-0231-7665-9E72-A2FAA3522BA8|NULL|His back teeth came together at thirty-one. He didn't decide to; he found them pressed, molar to molar, the muscle standing up in his jaw under the beard. He held them there, because letting go would have meant the rest of him had something to say about th|Marks the moment the count becomes physically unbearable, foreshadowing the trauma he'll carry from doing his job correctly.|Bear counts voices reaching thirty-two; child's voice audible; doors remain sealed, no one exits.
800.0|019FA033-0231-7F81-8B51-82BEB0AEE901|NULL|Somewhere around the eighth minute, with the count past forty and still climbing and not one body coming out of any door, the number stopped being a count and became a fact about the building. <NL>  <NL> The briefing had given them a hardened cell, a count|Turns the number from data into horrifying revelation, undercutting the mission's official premise about who is inside.|Count passes forty; Bear realizes the building contains trapped civilians, not combatants as briefed.
900.0|019FA033-0231-74F6-8A2B-EF33D3DFCA2D|NULL|The second-floor window was quiet. In a building making that much sound, the one dark square that made none was its own kind of report. He kept it. He had no order that covered keeping it either.|Plants an ominous, unexplained detail he chooses to remember, deepening his private reckoning beyond his orders.|Bear observes silent second-floor window; notes it as unreported intelligence.
1000.0|019FA033-0231-7D3F-9A9A-DE595BDE7400|NULL|And in the keeping, with his jaw locked and the number climbing past anything the briefing had promised, he made the one decision the morning left him: he would carry the number out whole. <NL>  <NL> Not report it — no field for it existed, and he already |Pays off his mounting dread with a defining vow, establishing the private moral commitment that will define his character going forward.|Bear decides to carry the exact count of forty-three voices out, refusing to let it be rounded down in debrief.
1100.0|019FA033-0231-7498-928F-DD0F89C05F83|NULL|"The radio crackled at 0328. Eastern perifoot, stand down, objective secured."|Delivers the external order that abruptly ends the mission, creating dramatic irony against the internal reckoning just established.|Radio orders stand-down at 0328; objective declared secured.
