Devansh Soriano-Srisai-Anang
Bankole Sow-Haraldsen-ThorvaldsdÃ³ttir
Farid Subramaniam-CissÃ©-Mansour
Calista SzabÃ³-Kovalenko-Hinojosa
Ejike Tanaka-Johansson-Jeong
Lark Taualagi-Fredriksen-Mbekele
Dharav Tetteh-Malhotra-Vestergaard
Anwita Tofauti-Makwa-Villanueva
Feliciano Tofauti-Sabbagh-Ghorbani
Drift Tran-Inoue-Im
Gloriana TraorÃ©-Okonkwo-Fujiwara
Enitan TraorÃ©-Sokolov-Kariuki
Ekundayo Valenzuela-Bustamante-Ekwensi
Thora Vasquez-Alfarsi-Cardenas-Sigurdsson
Eshe Vasquez-Alfarsi-EcheverrÃ­a
Akanbi Vasquez-Alfarsi-Ixchel
Guadalupe Vasquez-Alfarsi-Rahman
Fridrik Venkatesh-Dlamini-Montalvo
Biodun Villanueva-Owusu-Bangura
Everardo Wickramasinghe-Delgado-Wickramasinghe
Enrique Wickramasinghe-Keomanivong-Pathak
Gaetan Yamamoto-Kwon-Khoury
Amal Zaragoza-Ingebrigtsen-Nygaard
Fariha Zielinski-Tanaka-Banerjee
