Ioane Achebe-Masoe-Petelo
Guilherme Adeyemi-Calvillo-Nwosu
Hiroshi An-Saito-Olofsson
Imran Árnason-Haugen-Kittichai
Eman Árnason-Kang-Larsdóttir
Cosme Árnason-Karimi-Lindström
Erbol Árnason-Matsumoto-Hong
Gulmira Baiseitov-Mensah-Bautista
Brina Balasanyan-Hayashi-Cardenas
Erling Bautista-Horváth-Petrović
Fouad Bautista-Kulkarni-Traoré
Avani Bautista-Wójcik-Dlamini
Helmer Bergqvist-Phommasack-Lahlou
Alofa Björnsdóttir-Taualagi-Sefanaia
Gilberto Boateng-Raghavan-Banerjee
Bernhardt Boonsri-Im-Kabwit
Soren Bui-Thakur-Huitzil
Deniz Cardenas-Johansson-Hinojosa
Azamat Cardenas-Mukherjee-Kulkarni
Canan Chaiyaporn-Calvillo-Hernández
Szymon Chakraborty-Balasanyan-Mensah
Arielle Chakraborty-Deshpande-Mazurek
Baltasar Chatterjee-Banerjee-Vongphasouk
Hikmet Cisneros-Tovar-Khorasani
Bjorn Dalgaard-Appiah-Thorvaldsdóttir
Harendra Dalgaard-Shirazi-Magnúsdóttir
Chijindu Delgado-Delgado-Kovalenko
Delun Delgado-Touré-Boateng
Nisha Deshpande-Björnsdóttir-Holm
Hanying Deshpande-Dlamini-Rentería
Harleen Deshpande-Nazari-Kovács
Alpona Deshpande-Saidov-Venkatesh
Farouq Dlamini-Banerjee-Kulkarni
Dilnoza Echeverría-Ekwensi-Tovar
Ekkehart Ekwensi-Okada-Madrigal
Antonina Erikstad-Baek-Nygaard
Basel Erikstad-Volkov-Horváth
Femi Esquivel-Vasquez-Alfarsi-Nazari
Caupolican Fassi-Khorasani-Tehrani
Diop Hachemi-Strömqvist-Kettani
Leila Hachemi-Tlemcani-Popescu
Ghita Halverson-Bouzid-Sigurdsson
Kamila Haraldsen-Abdykadyrov-Arredondo
Bugra Haraldsen-Larsdóttir-Bergqvist
Erlingur Haraldsen-Park-Horváth
Ferdaws Haugen-Malhotra-Björnsdóttir
Aagje Hinojosa-Agyemang-Achebe
Arhaan Holm-Krstić-Bustamante
Alejandra Holm-Somchai-Hossain
Ardeshir Holm-Venkatesh-Hernández
Berko Hong-Árnason-Rentería
Ivar Hong-Magnúsdóttir-Holm
Haku Horváth-Adeyemi-Salazar
Zen Hossain-Calvillo-Jang
Eliud Ibarra-Kowalczyk-Mwangi
Saskia Ibarra-Nygaard-Vestergaard
Eliana Ingebrigtsen-Matsumoto-Bautista
Bashir Ixchel-Nokomis-Najjar
Esteban Jaramillo-Ionescu-Ozcoidi
Abril Johansson-Nygaard-Björnsdóttir
Braulio Kariuki-Chatterjee-Somchai
Binta Khoury-Hernández-Strömqvist
Rohan Khoury-Mukherjee-Hossain
Atlas Kobayashi-Trujillo-Pham
Gencer Konaté-Sesay-Deshpande
Brunhilde Kovács-Masoe-Sato
Gesanel Kovács-Ozcoidi-Cardenas
Aigerim Larsdóttir-Haddad-Thakur
Giang Le-Vestergaard-Adu
Folaranmi Lindström-Vasquez-Alfarsi-Matsumoto
Diyaa Lindström-Zidane-Banerjee
Alfonso Magnúsdóttir-Shin-Bui
Gretchen Malhotra-Lewandowski-Rakhimov
Bhumika Mansour-Björnsdóttir-Shirazi
Candida Möller-Saidov-Thorvaldsdóttir
Erasmo Montalvo-Novotný-Diallo
Kohana Moon-Boudiaf-Migizi
Hinata Mori-Esquivel-Jaramillo
Enzo Morimoto-Citlali-Bouzid
Ebuka Mukherjee-Raghavan-Quartey
Jabari Mwangi-Masoe-Yun
Ender Mwangi-Siripong-Pathak
Firouz Nazari-Jaramillo-Sesay
Cenk Nishimura-Chatterjee-Subramaniam
Faris Nkrumah-Kimura-Mbekele
Astrid Nkrumah-Vasquez-Alfarsi
Duduzile Nkrumah-Wojciechowski-Kulkarni
Ayobami Odinga-Nakamura-Valenzuela
Anibal Okafor-Agyemang-Sepúlveda
Ashanti Okonkwo-Keïta-Fassi
Dora Okonkwo-Petrović-Volkov
Liv Olofsson-Tamale-Mensah
Edmundo Petelo-Faalele-Tofauti
Gayatri Popescu-Strömqvist-Petrović
Eleuterio Quartey-Petrović-Lewandowski
Rashid Raghavan-Balasanyan-Agyemang
Arian Raghavan-Bergqvist-Magnúsdóttir
Nikhil Rahman-Keïta-Dalgaard
Bolot Rahman-Tursunov-Guerrero
Hauk Salazar-Kim-Bangura
Diamantino Salazar-Morimoto-Pathak
Hayate Sepúlveda-Guerrero-Ekwensi
Dalya Sepúlveda-Solberg-Cardenas
Gennadiy Sigurdsson-Echeverría-Rhee
Ayomide Sigurdsson-Park-Tamale
Awapuhi Solberg-Strömqvist-Chatterjee
Hanh Solberg-Vestergaard-Szabó
Haruka Soriano-Sigurdsson-Larsdóttir
Devansh Soriano-Srisai-Anang
Bankole Sow-Haraldsen-Thorvaldsdóttir
Farid Subramaniam-Cissé-Mansour
Calista Szabó-Kovalenko-Hinojosa
Ejike Tanaka-Johansson-Jeong
Lark Taualagi-Fredriksen-Mbekele
Dharav Tetteh-Malhotra-Vestergaard
Anwita Tofauti-Makwa-Villanueva
Feliciano Tofauti-Sabbagh-Ghorbani
Drift Tran-Inoue-Im
Gloriana Traoré-Okonkwo-Fujiwara
Enitan Traoré-Sokolov-Kariuki
Ekundayo Valenzuela-Bustamante-Ekwensi
Thora Vasquez-Alfarsi-Cardenas-Sigurdsson
Eshe Vasquez-Alfarsi-Echeverría
Akanbi Vasquez-Alfarsi-Ixchel
Guadalupe Vasquez-Alfarsi-Rahman
Fridrik Venkatesh-Dlamini-Montalvo
Biodun Villanueva-Owusu-Bangura
Everardo Wickramasinghe-Delgado-Wickramasinghe
Enrique Wickramasinghe-Keomanivong-Pathak
Gaetan Yamamoto-Kwon-Khoury
Amal Zaragoza-Ingebrigtsen-Nygaard
